,inputDataSize,sparkDriverCores,sparkDriverMemory,sparkExecutorMemory,sparkReducerMaxSizeInFlight,sparkShuffleCompress,sparkShuffleFileBuffer,sparkShuffleSpillCompress,sparkIoCompressionCodec,sparkRddCompress,sparkMemoryFraction,sparkExecutorCores,sparkDefaultParallelism,sparkLocalityWait,sparkTaskCpus,sparkExecutorInstances,sparkMemoryStorageFraction,duration
40,16,4,1,2,48,1,64,0,0,0,0.6,2,256,3,1,4,0.5,1667.0
1,16,4,4,2,48,0,64,0,0,0,0.6,1,256,3,1,2,0.3,35.0
82,16,2,2,1,48,0,64,0,0,0,0.6,2,256,3,1,8,0.5,1667.0
51,16,4,1,2,48,0,64,0,0,0,0.6,2,128,3,1,8,0.3,1667.0
22,16,1,4,2,48,0,64,0,0,0,0.6,2,128,3,1,2,0.5,9.0
84,16,2,2,4,48,0,64,0,0,0,0.6,4,256,3,1,8,0.3,1667.0
73,16,1,2,2,48,1,64,0,0,0,0.6,4,128,3,1,4,0.3,1667.0
54,16,4,1,8,48,0,64,0,0,0,0.6,1,256,3,1,2,0.5,1667.0
81,16,4,2,2,48,0,64,0,0,0,0.6,2,128,3,1,2,0.3,1667.0
60,16,2,1,2,48,0,64,0,0,0,0.6,1,64,3,1,4,0.5,1667.0
56,16,1,2,8,48,0,64,0,0,0,0.6,2,256,3,1,4,0.3,1667.0
69,16,4,1,1,48,0,64,0,0,0,0.6,2,128,3,1,2,0.3,1667.0
48,16,4,4,2,48,1,64,0,0,0,0.6,4,16,3,1,8,0.5,1667.0
57,16,1,1,2,48,0,64,0,0,0,0.6,4,256,3,1,2,0.5,1667.0
36,16,1,4,1,48,0,64,0,0,0,0.6,4,16,3,1,4,0.5,1667.0
19,16,4,4,4,48,1,64,0,0,0,0.6,2,256,3,1,2,0.3,10.0
20,16,2,4,8,48,1,64,0,0,0,0.6,1,16,3,1,4,0.5,14.0
86,16,2,1,4,48,0,64,0,0,0,0.6,4,256,3,1,4,0.5,1667.0
6,16,4,4,4,48,0,64,0,0,0,0.6,1,16,3,1,8,0.5,7.0
58,16,1,1,8,48,1,64,0,0,0,0.6,4,64,3,1,4,0.5,1667.0
90,16,4,1,8,48,1,64,0,0,0,0.6,4,128,3,1,2,0.3,1667.0
77,16,2,2,4,48,1,64,0,0,0,0.6,2,256,3,1,2,0.5,1667.0
31,16,4,4,1,48,0,64,0,0,0,0.6,1,64,3,1,4,0.3,8.0
43,16,2,2,2,48,0,64,0,0,0,0.6,4,64,3,1,4,0.5,1667.0
76,16,4,2,2,48,1,64,0,0,0,0.6,1,128,3,1,4,0.5,1667.0
38,16,1,2,2,48,1,64,0,0,0,0.6,2,256,3,1,4,0.3,1667.0
3,16,2,4,2,48,0,64,0,0,0,0.6,4,64,3,1,2,0.3,14.0
37,16,2,2,1,48,1,64,0,0,0,0.6,2,128,3,1,4,0.5,1667.0
18,16,1,4,4,48,0,64,0,0,0,0.6,1,64,3,1,8,0.3,7.0
68,16,1,1,2,48,0,64,0,0,0,0.6,2,256,3,1,8,0.5,1667.0
62,16,4,2,4,48,1,64,0,0,0,0.6,1,128,3,1,2,0.3,1667.0
28,16,2,4,8,48,1,64,0,0,0,0.6,4,16,3,1,4,0.5,6.0
21,16,4,4,4,48,1,64,0,0,0,0.6,1,64,3,1,4,0.3,11.0
91,16,2,1,4,48,1,64,0,0,0,0.6,2,256,3,1,8,0.5,1667.0
87,16,2,1,1,48,0,64,0,0,0,0.6,1,256,3,1,2,0.5,1667.0
30,16,2,4,4,48,1,64,0,0,0,0.6,2,256,3,1,8,0.3,6.0
45,16,2,1,1,48,1,64,0,0,0,0.6,2,256,3,1,4,0.5,1667.0
88,16,4,2,4,48,1,64,0,0,0,0.6,4,64,3,1,4,0.3,1667.0
7,16,2,4,1,48,1,64,0,0,0,0.6,4,128,3,1,4,0.5,8.0
14,16,2,4,4,48,0,64,0,0,0,0.6,2,128,3,1,4,0.5,6.0
63,16,4,2,2,48,1,64,0,0,0,0.6,2,256,3,1,8,0.5,1667.0
5,16,2,4,8,48,0,64,0,0,0,0.6,1,64,3,1,2,0.3,20.0
71,16,1,1,4,48,0,64,0,0,0,0.6,2,128,3,1,2,0.3,1667.0
17,16,2,4,8,48,0,64,0,0,0,0.6,1,16,3,1,2,0.5,18.0
9,16,2,4,4,48,1,64,0,0,0,0.6,1,128,3,1,8,0.5,6.0
27,16,4,4,1,48,0,64,0,0,0,0.6,2,256,3,1,2,0.3,10.0
11,16,1,4,1,48,0,64,0,0,0,0.6,1,16,3,1,2,0.5,17.0
39,16,1,1,4,48,0,64,0,0,0,0.6,1,16,3,1,2,0.3,1667.0
52,16,4,2,2,48,0,64,0,0,0,0.6,4,16,3,1,8,0.3,1667.0
25,16,1,4,4,48,0,64,0,0,0,0.6,2,256,3,1,4,0.3,6.0
10,16,4,4,8,48,1,64,0,0,0,0.6,2,256,3,1,2,0.3,11.0
53,16,1,4,8,48,1,64,0,0,0,0.6,1,128,3,1,2,0.5,1667.0
33,16,4,4,1,48,1,64,0,0,0,0.6,4,16,3,1,2,0.5,1667.0
46,16,2,4,2,48,0,64,0,0,0,0.6,4,16,3,1,4,0.5,1667.0
32,16,2,2,4,48,0,64,0,0,0,0.6,2,128,3,1,4,0.5,1667.0
64,16,1,1,1,48,1,64,0,0,0,0.6,4,128,3,1,4,0.3,1667.0
49,16,2,2,4,48,0,64,0,0,0,0.6,2,256,3,1,4,0.5,1667.0
74,16,4,1,4,48,0,64,0,0,0,0.6,4,64,3,1,8,0.5,1667.0
13,16,1,4,1,48,0,64,0,0,0,0.6,2,128,3,1,2,0.5,12.0
0,16,4,4,8,48,1,64,0,0,0,0.6,1,64,3,1,8,0.3,9.0
2,16,1,4,4,48,1,64,0,0,0,0.6,1,16,3,1,2,0.5,20.0
55,16,2,2,4,48,0,64,0,0,0,0.6,2,128,3,1,4,0.3,1667.0
65,16,2,1,8,48,0,64,0,0,0,0.6,4,64,3,1,2,0.5,1667.0
89,16,2,1,8,48,1,64,0,0,0,0.6,1,16,3,1,2,0.3,1667.0
47,16,1,1,8,48,0,64,0,0,0,0.6,2,128,3,1,4,0.3,1667.0
15,16,2,4,2,48,1,64,0,0,0,0.6,1,64,3,1,2,0.3,14.0
16,16,1,4,8,48,0,64,0,0,0,0.6,1,256,3,1,4,0.3,10.0
78,16,2,1,2,48,0,64,0,0,0,0.6,1,16,3,1,2,0.3,1667.0
79,16,1,1,4,48,1,64,0,0,0,0.6,4,64,3,1,2,0.5,1667.0
29,16,1,4,2,48,0,64,0,0,0,0.6,2,128,3,1,8,0.5,6.0
66,16,2,1,1,48,1,64,0,0,0,0.6,1,128,3,1,8,0.3,1667.0
